id	gene_id	contig	start	end	strand	metabolite_category	description	gos	kegg_pathway
80	CcGene_03457	CcContig_085363	56735	60524	-	Secondary Metabolite	3644.1acyl-coenzyme A oxidase 2, peroxisomal [Daucus carota subsp. sativus]	GO:0003997, GO:0005504, GO:0005777, GO:0033540, GO:0055088, GO:0071949	Beta-oxidation of very long chain fatty acids
81	CcGene_19611	CcContig_003564	26912	28361	+	Secondary Metabolite	8031.1acetylserotonin O-methyltransferase [Daucus carota subsp. sativus]	GO:0008171, GO:0008757, GO:0032259, GO:0046983	Methylation
82	CcGene_21010	CcContig_049800	27849	30581	+	Secondary Metabolite	KAL1813113.1hypothetical protein ACET3Z_023178 [Daucus carota]	GO:0003697, GO:0006264, GO:0042645, GO:0051096	Cytosolic glycolysis; Ascorbate biosynthesis
83	CcGene_03109	CcContig_109737	48660	49892	-	Secondary Metabolite	Bulb-type mannose-specific lectin	GO:0005802, GO:0005886, GO:0009833, GO:0016760, GO:0030244	Cellulose biosynthesis
84	CcGene_08389	CcContig_115463	7901	11371	-	Secondary Metabolite	KAL1829241.1hypothetical protein ACET3Z_007653 [Daucus carota]	GO:0001678, GO:0004340, GO:0005524, GO:0005536, GO:0005739, GO:0005829, GO:0006006, GO:0006096, GO:0008865, GO:0046835, GO:0051156	Glycolysis; Cytosolic glycolysis; Plastid glycolysis
85	CcGene_16450	CcContig_098974	9150	15541	+	Secondary Metabolite	3928.1CDP-diacylglycerol--serine O-phosphatidyltransferase 1 [Daucus carota subsp. sativus]	GO:0006659, GO:0106245	Synthesis of PS
86	CcGene_16960	CcContig_004586	11132	14613	-	Secondary Metabolite	4807.1malate dehydrogenase, glyoxysomal [Daucus carota subsp. sativus]	GO:0006099, GO:0006108, GO:0009507, GO:0030060	The tricarboxylic acid cycle; Citric acid cycle (TCA cycle); TCA cycle (plant)
87	CcGene_03955	CcContig_097768	34180	37683	+	Secondary Metabolite	0755.1protein SUPPRESSOR OF K(+) TRANSPORT GROWTH DEFECT 1-like isoform X1 [Apium graveolens]	GO:0005524, GO:0007033, GO:0016197, GO:0016887	Endosomal Sorting Complex Required For Transport (ESCRT)
88	CcGene_05074	CcContig_095547	14582	19789	+	Secondary Metabolite	4285.1protein argonaute 7 [Daucus carota subsp. sativus]	GO:0003723, GO:0004521, GO:0005515, GO:0005737, GO:0035194	Post-transcriptional silencing by small RNAs
89	CcGene_18990	CcContig_135480	26831	29175	-	Secondary Metabolite	KAL1813928.1hypothetical protein ACET3Z_023993 [Daucus carota]	GO:0004672, GO:0005524, GO:0006468	TAK1-dependent IKK and NF-kappa-B activation; MyD88:MAL(TIRAP) cascade initiated on plasma membrane; IRAK1 recruits IKK complex; TRIF (TICAM1)-mediated TLR4 signaling; JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1; activated TAK1 mediates p38 MAPK activation; Toll Like Receptor TLR1:TLR2 Cascade; Toll Like Receptor 5 (TLR5) Cascade; Toll Like Receptor 3 (TLR3) Cascade; Toll Like Receptor TLR6:TLR2 Cascade; Toll Like Receptor 9 (TLR9) Cascade; PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling; p75NTR recruits signalling complexes; NF-kB is activated and signals survival; IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation; Recognition of fungal and bacterial pathogens and immunity response
90	CcGene_17010	CcContig_037263	5583	8706	+	Secondary Metabolite	6810.1uncharacterized protein LOC141707512 [Apium graveolens]	GO:0005515	Jasmonic acid signaling; Strigolactone signaling; Reproductive meristem phase change
91	CcGene_08229	CcContig_144233	150457	154589	+	Secondary Metabolite	KAK1389581.1Phosphopyruvate hydratase [Heracleum sosnowskyi]	GO:0000015, GO:0000287, GO:0004634, GO:0006096	Glycolysis; Cytosolic glycolysis; Plastid glycolysis
92	CcGene_26005	CcContig_103525	19962	33181	-	Secondary Metabolite	0062.1phytyl ester synthase 2, chloroplastic-like isoform X1 [Daucus carota subsp. sativus]		Triglyceride biosynthesis
93	CcGene_01113	CcContig_016648	1479	2106	+	Secondary Metabolite	KAK1379335.12-(3-amino-3-carboxypropyl)histidine synthase subunit 2 [Heracleum sosnowskyi]	GO:0017183, GO:0090560	Synthesis of diphthamide-EEF2
94	CcGene_10013	CcContig_126908	57927	60318	-	Secondary Metabolite	5703.1importin subunit alpha-8-like [Apium graveolens]		Assembly of the ORC complex at the origin of replication
95	CcGene_10821	CcContig_097715	25464	27629	+	Secondary Metabolite	8945.1adenosylhomocysteinase [Daucus carota subsp. sativus]	GO:0004013, GO:0005829, GO:0033353	S-adenosyl-L-methionine cycle
96	CcGene_19508	CcContig_137710	19244	21672	+	Secondary Metabolite	6698.1trehalose-phosphate phosphatase A isoform X1 [Daucus carota subsp. sativus]	GO:0004805, GO:0005992	Trehalose biosynthesis; Trehalose biosynthesis I
97	CcGene_29792	CcContig_065648	5718	6428	-	Secondary Metabolite	3219.1uncharacterized protein LOC141660159 [Apium graveolens]	GO:0000723, GO:0003678, GO:0006281	Fanconi Anemia Pathway in DNA repair
98	CcGene_05983	CcContig_115374	5157	9381	+	Secondary Metabolite	6179.1glutathione reductase, chloroplastic [Daucus carota subsp. sativus]	GO:0004362, GO:0005739, GO:0005829, GO:0006749, GO:0034599, GO:0045454, GO:0050660, GO:0050661	Detoxification of Reactive Oxygen Species
99	CcGene_26997	CcContig_003305	19403	24336	-	Secondary Metabolite	KAL8132199.1hypothetical protein AgCh_007916 [Apium graveolens]	GO:0003871, GO:0008270	S-adenosyl-L-methionine cycle; Methionine biosynthesis II
100	CcGene_26477	CcContig_112101	8997	14911	+	Secondary Metabolite	WOH05653.1hypothetical protein DCAR_0625073 [Daucus carota subsp. sativus]	GO:0006400, GO:0016432	Synthesis of wybutosine at G37 of tRNA(Phe)
101	CcGene_21994	CcContig_137307	30693	34382	-	Secondary Metabolite	KAK1402727.1Pumilio-like protein 11 [Heracleum sosnowskyi]	GO:0003729, GO:0005737, GO:0010608	Neddylation
102	CcGene_24208	CcContig_095324	19651	20792	+	Secondary Metabolite	4828.1E3 ubiquitin-protein ligase HAKAI homolog isoform X2 [Daucus carota subsp. sativus]	GO:0016567, GO:0030155, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
103	CcGene_20015	CcContig_105839	5461	10034	+	Secondary Metabolite	5784.1cell division control protein 2 homolog C [Daucus carota subsp. sativus]	GO:0000082, GO:0000307, GO:0004693, GO:0005524, GO:0005634, GO:0005737, GO:0006468, GO:0007165, GO:0010389, GO:0010468, GO:0030332	Telomere Extension By Telomerase; Senescence-Associated Secretory Phenotype (SASP); DNA Damage/Telomere Stress Induced Senescence; AURKA Activation by TPX2; Cyclin A/B1/B2 associated events during G2/M transition; Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes; Cyclin D associated events in G1; SCF(Skp2)-mediated degradation of p27/p21; Orc1 removal from chromatin; Activation of the pre-replicative complex; G2 Phase; Regulation of TP53 Degradation; Regulation of TP53 Activity through Phosphorylation; G0 and Early G1; p53-Dependent G1 DNA Damage Response; PTK6 Regulates Cell Cycle; TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest; Regulation of APC/C activators between G1/S and early anaphase; CDK-mediated phosphorylation and removal of Cdc6; G1/S transition; G1 phase
104	CcGene_27005	CcContig_053063	121278	127738	+	Secondary Metabolite	KAL1819609.1hypothetical protein ACET3Z_014478 [Daucus carota]	GO:0004672, GO:0005515, GO:0005524, GO:0005737, GO:0006468, GO:0007165	Regulation of necroptotic cell death; Long day regulated expression of florigens
105	CcGene_23335	CcContig_123164	11487	20197	+	Secondary Metabolite	AI-2E family transporter	GO:0004325, GO:0005739, GO:0006783	Heme biosynthesis; Heme synthesis
106	CcGene_21872	CcContig_004675	478	2077	-	Secondary Metabolite	Transmembrane amino acid transporter protein	GO:0005802, GO:0005886, GO:0009833, GO:0016760, GO:0030244, GO:0003333, GO:0003674, GO:0005215, GO:0005342, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0005773, GO:0005774, GO:0006810, GO:0006811, GO:0006820, GO:0006865, GO:0008150, GO:0008509, GO:0008514, GO:0015075, GO:0015171, GO:0015175, GO:0015318, GO:0015711, GO:0015804, GO:0015849, GO:0016020, GO:0022857, GO:0031090, GO:0034220, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0044422, GO:0044424, GO:0044437, GO:0044444, GO:0044446, GO:0044464, GO:0046942, GO:0046943, GO:0051179, GO:0051234, GO:0055085, GO:0071702, GO:0071705, GO:0098588, GO:0098656, GO:0098805, GO:1903825, GO:1905039	Cellulose biosynthesis
107	CcGene_10492	CcContig_124908	4112	11675	+	Secondary Metabolite	Omega-6 fatty acid desaturase	GO:0016020, GO:0016126, GO:0016132, GO:0016628, GO:0003674, GO:0005488, GO:0005515, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0006082, GO:0006629, GO:0006631, GO:0006633, GO:0008150, GO:0008152, GO:0008610, GO:0009058, GO:0009314, GO:0009416, GO:0009507, GO:0009526, GO:0009536, GO:0009628, GO:0009642, GO:0009644, GO:0009892, GO:0009941, GO:0009987, GO:0010109, GO:0010205, GO:0016053, GO:0019222, GO:0019752, GO:0019904, GO:0031323, GO:0031324, GO:0031967, GO:0031975, GO:0032787, GO:0042548, GO:0043155, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0043436, GO:0043467, GO:0044237, GO:0044238, GO:0044249, GO:0044255, GO:0044281, GO:0044283, GO:0044422, GO:0044424, GO:0044434, GO:0044435, GO:0044444, GO:0044446, GO:0044464, GO:0046394, GO:0048519, GO:0048523, GO:0050789, GO:0050794, GO:0050896, GO:0065007, GO:0071704, GO:0072330, GO:1901576, GO:1905156	Brassinosteroid biosynthesis II
108	CcGene_21017	CcContig_071605	3399	5900	-	Lipid & Polyketide Metabolism	KAL1821410.1hypothetical protein ACET3Z_016279 [Daucus carota]	GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359	Iron uptake and transport; Sphingolipid de novo biosynthesis; Paracetamol ADME; Heme biosynthesis; Heme degradation; Ciprofloxacin ADME
109	CcGene_18431	CcContig_089647	33162	34832	-	Secondary Metabolite	KAK1388135.1Argonaute 1 [Heracleum sosnowskyi]	GO:0003723, GO:0004521, GO:0005515, GO:0005737, GO:0035194	Post-transcriptional silencing by small RNAs
110	CcGene_21826	CcContig_059019	4369	5398	-	Secondary Metabolite	2695.1uncharacterized protein LOC141691841 [Apium graveolens]	GO:0003906, GO:0005634, GO:0006284, GO:0008081, GO:0008311	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
111	CcGene_16361	CcContig_142740	59289	61083	-	Secondary Metabolite	KAL1829182.1hypothetical protein ACET3Z_007594 [Daucus carota]	GO:0004657, GO:0005739, GO:0006562, GO:0071949	Proline catabolism; Proline degradation
112	CcGene_24633	CcContig_120465	15635	16367	-	Secondary Metabolite	KAK1370907.1Helicase-like protein [Heracleum sosnowskyi]	GO:0000723, GO:0006281, GO:0043139, GO:0052692	Fanconi Anemia Pathway in DNA repair
113	CcGene_23991	CcContig_099765	27234	27804	+	Secondary Metabolite	3916.1methyl-CpG-binding domain-containing protein 9 isoform X2 [Daucus carota subsp. sativus]		RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function; Formation of the beta-catenin:TCF transactivating complex; Formation of WDR5-containing histone-modifying complexes
114	CcGene_14132	CcContig_146603	3744	6608	-	Secondary Metabolite	7099.1uncharacterized protein LOC108210286 [Daucus carota subsp. sativus]	GO:0000151, GO:0000209, GO:0005634, GO:0005829, GO:0006513, GO:0030332, GO:0031624, GO:0043161, GO:0051865, GO:0061630	Antigen processing: Ubiquitination & Proteasome degradation; Ubiquitin-dependent degradation of Cyclin D
115	CcGene_10804	CcContig_076573	8684	11591	+	Secondary Metabolite	2938.1adenosylhomocysteinase [Daucus carota subsp. sativus]	GO:0004013, GO:0005829, GO:0033353	S-adenosyl-L-methionine cycle
116	CcGene_21730	CcContig_099177	21515	25606	+	Secondary Metabolite	KAK1399457.1Trehalose 6-phosphate phosphatase [Heracleum sosnowskyi]	GO:0004805, GO:0005992	Trehalose biosynthesis; Trehalose biosynthesis I
117	CcGene_05934	CcContig_094697	8502	10365	-	Secondary Metabolite	4898.1putative trehalose-phosphate phosphatase H [Apium graveolens]	GO:0004805, GO:0005992	Trehalose biosynthesis; Trehalose biosynthesis I
118	CcGene_05221	CcContig_073954	3301	4742	+	Secondary Metabolite	2639.1bergaptol O-methyltransferase-like isoform X1 [Daucus carota subsp. sativus]	GO:0008171, GO:0008757, GO:0032259, GO:0046983	Methylation
119	CcGene_24965	CcContig_048206	64869	68689	-	Secondary Metabolite	6343.1aminomethyltransferase, mitochondrial [Daucus carota subsp. sativus]	GO:0004047, GO:0005515, GO:0005739, GO:0005960, GO:0006546	Glycine degradation
120	CcGene_27128	CcContig_138567	14573	19224	+	Secondary Metabolite	1469.2uncharacterized protein LOC108198216 [Daucus carota subsp. sativus]	GO:0000723, GO:0006281, GO:0043139	Fanconi Anemia Pathway in DNA repair
121	CcGene_28982	CcContig_057748	31237	37037	-	Secondary Metabolite	5115.1organic cation/carnitine transporter 4 [Daucus carota subsp. sativus]	GO:0016020, GO:0022857, GO:0055085	Iron uptake and transport; Norepinephrine Neurotransmitter Release Cycle; Ciprofloxacin ADME; Abacavir transmembrane transport; Carnitine shuttle; Neurotransmitter clearance; Organic anion transport; Na+/Cl- dependent neurotransmitter transporters; Organic cation transport; Aspirin ADME
122	CcGene_10001	CcContig_144152	67272	70254	+	Secondary Metabolite	KAK1369978.1Dynamin-type G domain-containing protein [Heracleum sosnowskyi]	GO:0003924, GO:0005737, GO:0005874, GO:0008017, GO:0016020	Interferon alpha/beta signaling
123	CcGene_23624	CcContig_143862	55888	58526	+	Secondary Metabolite	2671.1uncharacterized protein LOC108214927 isoform X2 [Daucus carota subsp. sativus]	GO:0006513, GO:0036297, GO:0043240, GO:0061630	Fanconi Anemia Pathway
124	CcGene_15290	CcContig_001636	44807	46640	-	Secondary Metabolite	8666.1DNA polymerase delta catalytic subunit isoform X1 [Daucus carota subsp. sativus]	GO:0003887, GO:0006287, GO:0006297, GO:0008296, GO:0043625, GO:0045004	Resolution of AP sites via the single-nucleotide replacement pathway; Resolution of AP sites via the multiple-nucleotide patch replacement pathway; Gap-filling DNA repair synthesis and ligation in GG-NER; APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
125	CcGene_09006	CcContig_138566	16196	23219	+	Secondary Metabolite	Chaperone protein	GO:0004674, GO:0005524, GO:0005634, GO:0005737, GO:0006897, GO:0007165, GO:0018105, GO:0000302, GO:0005575, GO:0005622, GO:0005623, GO:0006417, GO:0006950, GO:0006979, GO:0008150, GO:0009266, GO:0009314, GO:0009408, GO:0009416, GO:0009507, GO:0009526, GO:0009532, GO:0009536, GO:0009570, GO:0009628, GO:0009636, GO:0009642, GO:0009644, GO:0009889, GO:0009891, GO:0009893, GO:0009941, GO:0009987, GO:0010035, GO:0010468, GO:0010556, GO:0010557, GO:0010604, GO:0010608, GO:0010628, GO:0019222, GO:0031323, GO:0031325, GO:0031326, GO:0031328, GO:0031967, GO:0031975, GO:0032268, GO:0032270, GO:0033554, GO:0034248, GO:0034250, GO:0034605, GO:0042221, GO:0042493, GO:0042542, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0043335, GO:0044422, GO:0044424, GO:0044434, GO:0044435, GO:0044444, GO:0044446, GO:0044464, GO:0045727, GO:0046677, GO:0048518, GO:0048522, GO:0050789, GO:0050794, GO:0050896, GO:0051171, GO:0051173, GO:0051246, GO:0051247, GO:0051716, GO:0060255, GO:0065007, GO:0080090, GO:1901700, GO:2000112	Anchoring of the basal body to the plasma membrane; Regulation of PLK1 Activity at G2/M Transition; WNT mediated activation of DVL; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Recruitment of NuMA to mitotic centrosomes; AURKA Activation by TPX2
126	CcGene_28987	CcContig_102269	3826	8366	-	Secondary Metabolite	2326.1succinate--CoA ligase [ADP-forming] subunit alpha-1, mitochondrial [Daucus carota subsp. sativus]	GO:0004775, GO:0004776, GO:0005739, GO:0006099, GO:0009361	Citric acid cycle (TCA cycle); The tricarboxylic acid cycle; TCA cycle (plant)
127	CcGene_16053	CcContig_116784	3087	4574	-	Secondary Metabolite	KAL1818001.1hypothetical protein ACET3Z_020575 [Daucus carota]	GO:0005385, GO:0016020, GO:0071577	Zinc efflux and compartmentalization by the SLC30 family; Zinc influx into cells by the SLC39 gene family
128	CcGene_20992	CcContig_112456	104	6247	+	Secondary Metabolite	7345.1cleavage and polyadenylation specificity factor subunit 1 [Daucus carota subsp. sativus]	GO:0003676, GO:0005515, GO:0005634	Processing of Intronless Pre-mRNAs; Transport of Mature mRNA Derived from an Intronless Transcript; tRNA processing in the nucleus; mRNA 3'-end processing; RNA Polymerase II Transcription Termination
129	CcGene_23364	CcContig_085060	26739	35256	-	Secondary Metabolite	5133.1UDP-rhamnose/UDP-galactose transporter 2 [Daucus carota subsp. sativus]	GO:0000209, GO:0005634, GO:0061631	Antigen processing: Ubiquitination & Proteasome degradation
130	CcGene_07351	CcContig_138476	45457	46883	+	Secondary Metabolite	4475.1ubiquitin-conjugating enzyme E2 20-like [Daucus carota subsp. sativus]	GO:0000209, GO:0005524, GO:0005634, GO:0016874, GO:0030071, GO:0031145, GO:0061631	APC/C:Cdc20 mediated degradation of Securin; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Antigen processing: Ubiquitination & Proteasome degradation; APC/C:Cdc20 mediated degradation of Cyclin B; Autodegradation of Cdh1 by Cdh1:APC/C
131	CcGene_22861	CcContig_097487	67659	79948	-	Secondary Metabolite	8322.1E3 ubiquitin-protein ligase UPL7 [Daucus carota subsp. sativus]	GO:0000209, GO:0006511, GO:0061630	Antigen processing: Ubiquitination & Proteasome degradation
132	CcGene_21325	CcContig_007603	13689	17401	+	Secondary Metabolite	KAL1812482.1hypothetical protein ACET3Z_022547 [Daucus carota]	GO:0005634, GO:0006511, GO:0006879, GO:0008270, GO:0016567, GO:0061630	Iron uptake and transport; E3 ubiquitin ligases ubiquitinate target proteins
133	CcGene_03695	CcContig_058787	6509	9170	-	Secondary Metabolite	5073.1cellulose synthase-like protein G2 [Daucus carota subsp. sativus]	GO:0005802, GO:0005886, GO:0009833, GO:0016760, GO:0030244	Cellulose biosynthesis
134	CcGene_22986	CcContig_139913	5888	8832	-	Secondary Metabolite	Ammonium Transporter Family	GO:0004663, GO:0005968, GO:0018344	RAB geranylgeranylation; TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
135	CcGene_01000	CcContig_124612	38357	40648	-	Secondary Metabolite	9841.13-epi-6-deoxocathasterone 23-monooxygenase CYP90D1 [Daucus carota subsp. sativus]	GO:0005506, GO:0007275, GO:0010268, GO:0016125, GO:0016132, GO:0016709, GO:0020037	Endogenous sterols; Brassinosteroid biosynthesis II
136	CcGene_29587	CcContig_057574	3560	7795	-	Secondary Metabolite	6238.1E3 ubiquitin-protein ligase AIRP2 isoform X1 [Daucus carota subsp. sativus]	GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
137	CcGene_19973	CcContig_112969	59861	63952	-	Secondary Metabolite	6958.1cycloartenol-C-24-methyltransferase [Daucus carota subsp. sativus]	GO:0003838, GO:0005783, GO:0016126	Sterol biosynthesis
138	CcGene_12905	CcContig_111614	23388	30103	-	Secondary Metabolite	KAL1819346.1hypothetical protein ACET3Z_014215 [Daucus carota]	GO:0004591, GO:0005739, GO:0006099, GO:0030976, GO:0045252	Citric acid cycle (TCA cycle)
139	CcGene_11486	CcContig_049526	32291	37278	+	Secondary Metabolite	1768.1plastidial pyruvate kinase 2 isoform X1 [Daucus carota subsp. sativus]	GO:0000287, GO:0004743, GO:0006096, GO:0009570, GO:0030955	Glycolysis; Plastid glycolysis; Cytosolic glycolysis
